[4.68804469e-310 4.68804470e-310 4.68804470e-310], [81.3405020236969]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [81.5059564113617]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [81.67036318778992]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [81.84709167480469]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [82.01271867752075]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [82.17856192588806]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [82.34439206123352]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [82.51118516921997]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [82.6753921508789]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [82.84229040145874]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [83.00875878334045]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [83.17395210266113]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [83.33929014205933]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [83.50489664077759]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [83.66978669166565]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [83.83533239364624]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [83.99961590766907]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [84.1628749370575]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [84.32816576957703]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [84.4938702583313]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [84.658846616745]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [84.82400798797607]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [84.98923301696777]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [85.16489720344543]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [85.34132742881775]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [85.51958751678467]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [85.6848566532135]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [85.85101771354675]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [86.01691961288452]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [86.18293261528015]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [86.3474907875061]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [86.51374936103821]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [86.6791627407074]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [86.84631419181824]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [87.0124454498291]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [87.17776107788086]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [87.34344959259033]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [87.51025009155273]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [87.67555546760559]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [87.83953762054443]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [88.00475811958313]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [88.16920232772827]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [88.33511304855347]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [88.50108623504639]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [88.66589093208313]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [88.83017206192017]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [88.99514698982239]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [89.16064524650574]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [89.32759881019592]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [89.49291467666626]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [89.65896344184875]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [89.8255295753479]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [89.98965406417847]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [90.15541529655457]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [90.32076501846313]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [90.48617672920227]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [90.66206383705139]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [90.82783555984497]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [90.99491167068481]
