[-1.7954817  -6.39635256 59.75674183], [73.64109802246094]
[-2.23560331 -6.41252863 59.63872   ], [73.72503805160522]
[-3.1114034  -6.54563553 59.56818124], [73.80872511863708]
[-3.37756469 -6.5576794  59.50759014], [73.89291405677795]
[-3.70152713 -6.50935783 59.41467417], [73.9786159992218]
[-3.73301268 -6.48505617 59.3728708 ], [74.062664270401]
[-3.86108563 -6.40147825 59.3584729 ], [74.14718222618103]
[-3.83667546 -6.44635758 59.33626827], [74.2314202785492]
[-3.80279339 -6.40511626 59.34314916], [74.31546831130981]
[-3.79130489 -6.43274779 59.32425283], [74.3999536037445]
[-3.79023217 -6.43957359 59.33373045], [74.48344993591309]
[-3.79472707 -6.45368819 59.32178778], [74.56829619407654]
[-3.79813018 -6.50036716 59.29876031], [74.65243792533875]
[-3.82248903 -6.4974046  59.28746644], [74.73639464378357]
[-3.8390368  -6.52242599 59.26600264], [74.82101559638977]
[-3.86877527 -6.53221259 59.24845462], [74.90599870681763]
[-3.9011368  -6.53828896 59.23322353], [74.99106049537659]
[-3.93718642 -6.55338187 59.21660608], [75.07561755180359]
[-3.95933054 -6.54427359 59.19206491], [75.15958738327026]
[-3.98787752 -6.55841724 59.17703728], [75.24461221694946]
