[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.20736384391785]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.29152035713196]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.37597680091858]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.46108436584473]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.54561924934387]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.6305468082428]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.71490526199341]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.799561977386475]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.88290357589722]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [60.963993549346924]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.0487003326416]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.13334631919861]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.218161821365356]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.30278038978577]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.38808488845825]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.472593784332275]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.5571768283844]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.64218759536743]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.726691484451294]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.81082582473755]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.8949818611145]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [61.97944259643555]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.06392312049866]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.14818096160889]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.231714725494385]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.31601095199585]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.399537563323975]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.48394823074341]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.56820011138916]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.651907444000244]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.73623466491699]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.82020902633667]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.90485715866089]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [62.989638805389404]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.07420301437378]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.15903282165527]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.24375295639038]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.32811212539673]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.41301870346069]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.49736833572388]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.582345724105835]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.665953397750854]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.74937725067139]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.8346962928772]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [63.91888213157654]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.00367569923401]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.08773636817932]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.17129278182983]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.25590753555298]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.34008455276489]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.42451691627502]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.50797772407532]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.59243106842041]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.67668151855469]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.76102685928345]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.8450379371643]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [64.92919635772705]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.01365494728088]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.09829902648926]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.18211698532104]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.26579976081848]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.35668778419495]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.44204092025757]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.52731394767761]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.6125020980835]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.69705414772034]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.78079962730408]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.86496925354004]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [65.94885468482971]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.03262734413147]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.11677289009094]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.20145511627197]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.2857768535614]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.37052130699158]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.4551510810852]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.53889489173889]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.62300729751587]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.70671343803406]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.79109716415405]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.87544775009155]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [66.95991206169128]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.04456806182861]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.12836694717407]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.21331286430359]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.29816246032715]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.38278865814209]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [67.46686339378357]
