[0. 0. 0.], [36.7965567111969]
[-9.85  0.33 60.03], [69.23999071121216]
[-9.69 -2.29 60.62], [69.32523536682129]
[ -3.53 -27.36  49.95], [69.40987038612366]
[ -9.01 -11.71  57.53], [69.49498295783997]
[ -5.76 -20.07  53.09], [69.57968425750732]
[-15.71  -4.66  58.16], [69.66487193107605]
[-11.67 -13.62  61.59], [69.74986362457275]
[-18.31  -1.14  59.53], [69.83410406112671]
[-9.69 -6.97 61.38], [69.91882729530334]
[-11.04   0.47  61.23], [70.00407218933105]
[-7.24 -7.02 61.55], [70.08848690986633]
[-10.02  -2.5   61.72], [70.17433404922485]
[-9.27 -7.14 61.1 ], [70.25882816314697]
[-10.2   -3.72  60.84], [70.34265804290771]
[-10.56  -4.18  60.41], [70.42792916297913]
[-10.4   -3.85  60.92], [70.51284170150757]
[-10.5   -2.91  60.63], [70.59712433815002]
[-9.96 -4.34 60.6 ], [70.68093013763428]
[-9.85 -3.76 60.65], [70.76524257659912]
[-9.83 -4.18 60.51], [70.84958505630493]
[-9.98 -4.28 60.49], [70.93370842933655]
[-9.73 -4.27 60.47], [71.0192334651947]
[-10.22  -4.7   60.26], [71.10368847846985]
[-9.74 -4.51 60.52], [71.18830299377441]
[-10.22  -4.99  60.17], [71.27343821525574]
[-9.92 -4.68 60.31], [71.35839080810547]
[-11.46 -10.18  58.76], [71.4431426525116]
[ -5.35 -37.4   46.49], [71.52755975723267]
[ -7.7  -21.88  59.1 ], [71.61132097244263]
[ -3.93 -31.02  51.17], [71.69622731208801]
[-12.51 -13.15  58.3 ], [71.7807948589325]
[ -8.36 -16.48  59.19], [71.86522674560547]
[-22.63  -1.68  60.62], [71.94917368888855]
[ -9.3  -12.36  61.64], [72.03404140472412]
[-15.38  -0.89  60.85], [72.11901211738586]
[ -6.17 -13.5   62.3 ], [72.20356035232544]
[-13.92  -4.16  62.27], [72.28760957717896]
[ -7.   -15.12  62.01], [72.37219643592834]
[-13.63  -5.02  61.31], [72.4561755657196]
[ -6.04 -14.56  60.54], [72.54070734977722]
[-12.21  -6.55  61.1 ], [72.6254894733429]
[ -8.31 -16.13  61.26], [72.71024227142334]
[-12.5   -6.89  60.38], [72.8003146648407]
[ -7.79 -14.17  60.7 ], [72.88442778587341]
[-11.47  -7.72  60.37], [72.96823811531067]
[ -8.29 -12.49  60.67], [73.05235934257507]
[-12.22  -7.52  61.21], [73.13635230064392]
[ -8.54 -11.    60.35], [73.22057032585144]
[-11.35  -7.32  59.6 ], [73.30507898330688]
[ -8.86 -10.57  60.76], [73.38900899887085]
[ -9.64 -10.05  60.57], [73.47310137748718]
[-7.6  -9.18 61.11], [73.55713081359863]
[ 9.12 -8.42 61.5 ], [73.64120435714722]
[ 3.79 -9.64 62.95], [73.72518467903137]
[11.55 -7.45 60.99], [73.80883407592773]
[ 0.71 -9.7  61.82], [73.89332246780396]
[  1.22 -10.92  62.62], [73.9787757396698]
