[1.42108547e-14 0.00000000e+00 5.50000000e+01], [40.23655104637146]
[ 4.90683973 -5.0447731  55.42023319], [57.37404799461365]
[ 4.90689426 -5.04473208 55.41988228], [57.45729470252991]
[ 4.90693572 -5.04470089 55.41961532], [57.54097938537598]
[ 5.34978843 -0.53190425 56.28936307], [57.62413549423218]
[ 4.83212269e+00 -2.01620050e-03  5.60833961e+01], [57.7069354057312]
[4.81677695e+00 4.16287627e-03 5.60148293e+01], [57.79050827026367]
[4.82904873e+00 2.12802950e-03 5.59451346e+01], [57.87396454811096]
[4.83801465e+00 1.55966976e-03 5.58901543e+01], [57.95725107192993]
[4.84456036e+00 1.21590219e-03 5.58486245e+01], [58.040592670440674]
[4.84946313e+00 9.53851167e-04 5.58173405e+01], [58.12432098388672]
[4.85315281e+00 7.50564465e-04 5.57937606e+01], [58.20899844169617]
[4.85593350e+00 5.92212378e-04 5.57759776e+01], [58.2925488948822]
[4.85803137e+00 4.68468426e-04 5.57625600e+01], [58.3767991065979]
[4.85961557e+00 3.71565726e-04 5.57524314e+01], [58.46074199676514]
[4.86081283e+00 2.95602151e-04 5.57447823e+01], [58.544699907302856]
[4.86171829e+00 2.36042115e-04 5.57390033e+01], [58.629048109054565]
[4.86240349e+00 1.89366465e-04 5.57346353e+01], [58.71214985847473]
[4.86292229e+00 1.52824324e-04 5.57313325e+01], [58.795332193374634]
[4.86331530e+00 1.24254154e-04 5.57288342e+01], [58.87981152534485]
[4.86361315e+00 1.01952056e-04 5.57269437e+01], [58.963170766830444]
[4.86383898e+00 8.45727872e-05 5.57255126e+01], [59.048078298568726]
[4.86401027e+00 7.10539604e-05 5.57244288e+01], [59.132874488830566]
[4.86414023e+00 6.05571179e-05 5.57236079e+01], [59.21686148643494]
[4.86423888e+00 5.24213902e-05 5.57229857e+01], [59.301379919052124]
[4.86431378e+00 4.61267854e-05 5.57225141e+01], [59.38561224937439]
[4.86437066e+00 4.12649743e-05 5.57221565e+01], [59.46973180770874]
[4.86441388e+00 3.75159991e-05 5.57218852e+01], [59.554455280303955]
[4.86444673e+00 3.46296985e-05 5.57216794e+01], [59.63857388496399]
[ 4.12495215e-01 -4.51628522e-04  5.64578936e+01], [59.722811698913574]
[-2.70114705e-01  9.16330138e-05  5.61662737e+01], [59.807868242263794]
[-2.27435325e-01  7.18256126e-05  5.59121271e+01], [59.8917510509491]
[-1.70378340e-01  4.11301079e-05  5.56865408e+01], [59.97497248649597]
[-1.24981736e-01 -1.01396224e-06  5.55148713e+01], [60.05877900123596]
[-9.05625108e-02 -2.33742453e-05  5.53860928e+01], [60.14225769042969]
[-6.52623130e-02 -2.95161050e-05  5.52895072e+01], [60.224976778030396]
[-4.69123407e-02 -2.70960732e-05  5.52170739e+01], [60.30882525444031]
[-3.36821610e-02 -2.14681173e-05  5.51627577e+01], [60.391887187957764]
[-2.41691719e-02 -1.54720949e-05  5.51220298e+01], [60.474709272384644]
[-1.73377247e-02 -1.03184653e-05  5.50914919e+01], [60.55771350860596]
[-1.24350282e-02 -6.34808313e-06  5.50685954e+01], [60.641627073287964]
[-8.91769316e-03 -3.50361018e-06  5.50514284e+01], [60.72487783432007]
[-6.39473517e-03 -1.58253728e-06  5.50385575e+01], [60.808255434036255]
[-4.58525659e-03 -3.58436089e-07  5.50289077e+01], [60.89202260971069]
[-3.28760262e-03  3.68851310e-07  5.50216729e+01], [60.974432706832886]
[-2.35706447e-03  7.58154520e-07  5.50162487e+01], [61.05796527862549]
[-1.68982219e-03  9.27597492e-07  5.50121821e+01], [61.140459060668945]
[-1.21140211e-03  9.61067913e-07  5.50091332e+01], [61.22326707839966]
[-8.68387216e-04  9.15921548e-07  5.50068473e+01], [61.30669021606445]
[-6.22466595e-04  8.29993964e-07  5.50051336e+01], [61.38881969451904]
[-4.46165306e-04  7.27295056e-07  5.50038488e+01], [61.470733880996704]
[-3.19780615e-04  6.22346016e-07  5.50028855e+01], [61.55352997779846]
[-2.29184088e-04  5.23344650e-07  5.50021633e+01], [61.63747429847717]
[-1.64245004e-04  4.34403074e-07  5.50016219e+01], [61.720327854156494]
[5.00837120e-06 2.59326715e-06 5.85558864e+01], [61.803146839141846]
[-2.56045188e-06  2.64278516e-06  5.93306851e+01], [61.885114669799805]
[-3.47659810e-06  2.65445908e-06  5.94958369e+01], [61.96836805343628]
[-3.84363285e-06  2.65970496e-06  5.95310190e+01], [62.05179476737976]
[-4.07924882e-06  2.66319798e-06  5.95385137e+01], [62.13452744483948]
[-4.25623420e-06  2.66585722e-06  5.95401103e+01], [62.21731662750244]
[-4.39401577e-06  2.66792156e-06  5.95404505e+01], [62.30030560493469]
[-4.50175973e-06  2.66952171e-06  5.95405229e+01], [62.388851165771484]
[-4.58588243e-06  2.67075780e-06  5.95405384e+01], [62.472344636917114]
[-4.65141781e-06  2.67171018e-06  5.95405417e+01], [62.55537176132202]
[-4.70237960e-06  2.67244265e-06  5.95405423e+01], [62.63892483711243]
[-4.74195584e-06  2.67300533e-06  5.95405425e+01], [62.721954107284546]
[-4.77266277e-06  2.67343724e-06  5.95405425e+01], [62.804980516433716]
[-4.79647543e-06  2.67376860e-06  5.95405425e+01], [62.88810896873474]
[-4.81493759e-06  2.67402271e-06  5.95405425e+01], [62.97135257720947]
[-4.82925162e-06  2.67421752e-06  5.95405425e+01], [63.05416512489319]
[-4.84035196e-06  2.67436682e-06  5.95405425e+01], [63.13713216781616]
[-4.84896336e-06  2.67448120e-06  5.95405425e+01], [63.2206552028656]
[-4.85564720e-06  2.67456879e-06  5.95405425e+01], [63.304338455200195]
[-4.86083820e-06  2.67463584e-06  5.95405425e+01], [63.38760447502136]
[-4.86487246e-06  2.67468712e-06  5.95405425e+01], [63.470717668533325]
[-4.86801004e-06  2.67472631e-06  5.95405425e+01], [63.55429124832153]
[-4.87045218e-06  2.67475623e-06  5.95405425e+01], [63.637285470962524]
[-4.87235460e-06  2.67477906e-06  5.95405425e+01], [63.719905853271484]
[-4.87383775e-06  2.67479644e-06  5.95405425e+01], [63.80286407470703]
[-4.86689481  4.79526691 60.09023665], [63.88605356216431]
[-4.95610965  4.95604607 59.67220262], [63.96963095664978]
[-4.94033922  4.94009352 59.57963734], [64.05364537239075]
[-4.93772019  4.93747097 59.55653346], [64.1337788105011]
[-4.93733957  4.93714168 59.54838061], [64.21318793296814]
[-4.93735279  4.93720036 59.54300701], [64.29583549499512]
[-4.9374239   4.93730928 59.53828801], [64.37960815429688]
[-4.93749678  4.93741333 59.53403497], [64.4639744758606]
[-4.93756651  4.93750865 59.53031643], [64.54670262336731]
[-4.93763442  4.93759753 59.52716455], [64.63022232055664]
[-4.93770091  4.93768113 59.52455545], [64.71413612365723]
[-4.93776527  4.93775944 59.52243216], [64.79806280136108]
[-4.93782648  4.93783197 59.52072501], [64.88230562210083]
[-4.93788359  4.93789827 59.51936425], [64.96636867523193]
[-4.93793597  4.9379581  59.51828628], [65.05079865455627]
[-4.93798333  4.93801148 59.51743615], [65.13455080986023]
[-4.93802564  4.93805866 59.51676795], [65.21827530860901]
[-4.93806307  4.93810003 59.51624407], [65.30272102355957]
[-4.93809593  4.93813607 59.51583416], [65.38699960708618]
[-4.93812458  4.9381673  59.51551397], [65.47039651870728]
[-4.93814943  4.93819423 59.51526422], [65.55437541007996]
[-4.9381709   4.93821739 59.51506968], [65.63896703720093]
[-4.93818937  4.93823722 59.51491833], [65.72378253936768]
[-4.93820521  4.93825418 59.51480074], [65.80809736251831]
[-4.93821877  4.93826863 59.5147095 ], [65.89251399040222]
[-9.85968617  9.84359261 59.32776861], [65.97642421722412]
[-9.86609841  9.86592801 59.49764837], [66.06097412109375]
[-9.85748133  9.84469398 59.55112506], [66.14489340782166]
[-9.86894671  9.86886837 59.5168524 ], [66.22890520095825]
[-9.86812844  9.86799499 59.51040524], [66.31322574615479]
[-9.86738676  9.86728827 59.50350156], [66.39713382720947]
[-9.86640449  9.8663428  59.49565164], [66.48034286499023]
[-9.86532319  9.86529448 59.4876675 ], [66.56451559066772]
[-9.8642862   9.86428679 59.48021932], [66.64903807640076]
[-9.86336851  9.8633948  59.47364068], [66.73307418823242]
[-9.86259537  9.86264391 59.46802826], [66.81674933433533]
[-9.86196458  9.86203211 59.46334735], [66.90095353126526]
[-9.8614612   9.86154473 59.4595018 ], [66.98547959327698]
[-9.86106592  9.86116281 59.45637455], [67.06909370422363]
[-9.86075941  9.86086733 59.45384898], [67.15280628204346]
[-9.86052418  9.86064117 59.45181891], [67.23600172996521]
[-9.86034534  9.86046976 59.45019239], [67.31993770599365]
[-9.86021062  9.86034109 59.44889206], [67.40376329421997]
[-9.86011011  9.86024552 59.4478541 ], [67.48709487915039]
[-9.86003593  9.86017539 59.44702645], [67.57071447372437]
[-9.85998189  9.86012466 59.44636702], [67.65411257743835]
[-9.85994314  9.86008866 59.44584194], [67.7378478050232]
[-9.85991594  9.86006373 59.44542403], [67.82255339622498]
[-9.85989738  9.86004708 59.44509159], [67.9060845375061]
[-9.85988524  9.86003655 59.44482724], [67.98952031135559]
[-9.92687819  4.99693204 59.79077815], [68.07357883453369]
[-9.88728166  4.94878736 59.56025861], [68.1572813987732]
[-9.87384892  4.94662437 59.50414964], [68.2420859336853]
[-9.86986334  4.94414716 59.48756339], [68.32677912712097]
[-9.86799282  4.9421968  59.47983155], [68.41041994094849]
[-9.86673384  4.94042356 59.47453627], [68.49439787864685]
[-9.86576701  4.93881853 59.47035839], [68.57869124412537]
[-9.86500989  4.93741374 59.46700317], [68.6623854637146]
[-9.86442419  4.93622166 59.46435255], [68.74609375]
[-9.86397891  4.93523442 59.46230411], [68.83017086982727]
[-9.86463969  4.93491146 59.46455969], [68.91385412216187]
[-9.86538934  4.93475617 59.46733225], [68.99686741828918]
[-9.86575393  4.9345188  59.46868834], [69.08183002471924]
[-9.86600501  4.93431189 59.46960671], [69.16593432426453]
[-9.86619632  4.93414557 59.47031402], [69.25007176399231]
[-9.8663447   4.93401431 59.47087383], [69.33385276794434]
[-9.86645916  4.93391104 59.47131629], [69.41790628433228]
[-9.86654652  4.93382965 59.4716634 ], [69.50150156021118]
[-9.86661246  4.93376528 59.47193354], [69.5845296382904]
[-9.86666168  4.93371415 59.47214226], [69.66904926300049]
[-9.86669804  4.93367332 59.47230252], [69.75246071815491]
[-9.86672461  4.93364054 59.4724249 ], [69.83657240867615]
[-9.86674383  4.93361407 59.47251791], [69.92010426521301]
