[0. 0. 0.], [40.23710036277771]
[ 0.23  2.52 61.41], [63.886574268341064]
[ 0.23  2.53 61.44], [63.9700083732605]
[-2.68  2.17 60.91], [64.05397295951843]
[nan nan nan], [64.13415598869324]
[nan nan nan], [64.2134861946106]
[-20.11  10.55  52.61], [64.29637145996094]
[-10.82  11.86  56.26], [64.38012456893921]
[-12.27  10.63  56.76], [64.46448993682861]
[-12.14  11.32  57.12], [64.54717898368835]
[-9.5   8.76 58.54], [64.63074374198914]
[-9.71  9.02 58.91], [64.71470594406128]
[-9.19  9.52 59.06], [64.79862356185913]
[-9.16  8.99 58.9 ], [64.88264274597168]
[-9.04  8.83 59.36], [64.96678161621094]
[-8.85  8.75 59.5 ], [65.05117726325989]
[-8.45  8.49 59.65], [65.1346824169159]
[-8.21  8.58 59.87], [65.21849131584167]
[-8.19  8.47 59.86], [65.30296349525452]
[-8.02  8.47 59.91], [65.3872230052948]
[-7.77  8.6  60.01], [65.47069597244263]
[-8.15  8.43 59.95], [65.55471515655518]
[-7.75  8.51 60.03], [65.63937044143677]
[-8.07  8.95 59.62], [65.72434902191162]
[-8.07  8.28 59.99], [65.80856084823608]
[-7.72  8.49 59.96], [65.89286065101624]
[-7.99  8.37 59.98], [65.97684645652771]
[-7.86  8.48 59.96], [66.0613169670105]
[-14.98  13.88  53.87], [66.14548563957214]
[-23.19  18.68  28.76], [66.229177236557]
[-26.24  14.49  46.4 ], [66.31339025497437]
[-30.71  20.47  38.15], [66.39759755134583]
[-27.89  19.02  42.86], [66.48077535629272]
[-26.87  18.56  45.09], [66.56506419181824]
[-28.71  20.16  45.08], [66.6493968963623]
[-24.84  18.04  48.98], [66.7332649230957]
[-24.85  18.26  48.85], [66.81714582443237]
[-25.75  18.23  48.66], [66.90113306045532]
[-23.64  17.91  50.55], [66.98579859733582]
[-23.37  18.21  51.54], [67.06944942474365]
[-23.31  17.37  51.74], [67.15320158004761]
[-22.44  17.27  52.33], [67.2364010810852]
[-22.59  17.27  52.3 ], [67.32034683227539]
[-21.62  17.53  52.7 ], [67.40389728546143]
[-21.74  17.08  53.01], [67.48747563362122]
[-22.15  17.17  52.73], [67.57105612754822]
[-21.28  17.09  53.15], [67.65449643135071]
[-21.58  17.12  52.95], [67.73823380470276]
[-21.13  17.08  53.43], [67.82279825210571]
[-21.07  16.88  53.45], [67.90636777877808]
[-21.33  16.97  53.64], [67.98969507217407]
[-20.6   16.94  53.61], [68.07374954223633]
[-21.26  17.22  53.32], [68.15767860412598]
[-16.11  13.84  59.38], [68.24266386032104]
[-7.52 -5.66 62.66], [68.32694888114929]
[-25.46  -2.07  59.49], [68.41092252731323]
[-16.37  -5.39  59.51], [68.49491953849792]
[-2.044e+01  2.000e-02  6.034e+01], [68.57895684242249]
[-18.46  -0.99  59.2 ], [68.66280269622803]
[-18.1    1.82  59.77], [68.746511220932]
[-19.1    1.07  59.13], [68.8303587436676]
[-18.57   3.19  59.31], [68.9141640663147]
[-18.22   3.43  59.41], [68.99717020988464]
[-18.98   3.74  58.97], [69.08212924003601]
[-18.45   4.55  59.16], [69.16623902320862]
