[-29.33  16.82  45.47], [57.21642518043518]
[-31.    26.84  38.14], [57.30041480064392]
[-31.09  22.27  42.21], [57.38382124900818]
[-24.84  21.81  47.46], [57.467076778411865]
[-29.64  21.59  46.07], [57.549991846084595]
[-24.19  20.83  50.9 ], [57.63338255882263]
[-26.48  21.    49.65], [57.71726369857788]
[-24.66  20.54  51.11], [57.80113434791565]
[-24.32  19.72  51.8 ], [57.88506746292114]
[-23.89  20.22  52.36], [57.96850848197937]
[-23.19  19.21  52.71], [58.052186489105225]
[-22.73  19.33  52.9 ], [58.13597536087036]
[-22.67  19.19  53.25], [58.21797776222229]
[-21.98  19.29  53.41], [58.302271127700806]
[-22.29  19.19  54.36], [58.38549590110779]
[-21.67  19.    53.88], [58.4688196182251]
[-21.61  18.92  53.86], [58.55232214927673]
[-21.38  18.89  54.16], [58.635695934295654]
[-21.22  18.85  54.23], [58.71880483627319]
[-21.76  18.56  54.26], [58.802613973617554]
[-21.61  18.71  54.33], [58.88598012924194]
[-21.13  18.76  54.45], [58.97018313407898]
[-21.15  18.7   54.09], [59.05365610122681]
[-20.23  14.52  58.26], [59.13687491416931]
[-11.15  -6.82  63.12], [59.22072100639343]
[-19.51   2.87  60.52], [59.30386757850647]
[-17.65  -3.71  58.96], [59.38811802864075]
[-19.74   1.3   61.6 ], [59.47155785560608]
[-19.5   -0.21  60.42], [59.55478262901306]
[-17.71   3.52  60.98], [59.63875937461853]
[-19.6    1.9   60.27], [59.72263813018799]
[-18.16   3.81  60.63], [59.80544447898865]
[-18.5    4.37  60.44], [59.88811206817627]
[-18.14   5.09  60.22], [59.97135257720947]
[-18.55   5.18  60.14], [60.05466818809509]
[-17.58   5.27  60.22], [60.1383638381958]
[-18.03   6.01  60.1 ], [60.22203350067139]
[-17.45   6.39  60.  ], [60.305543661117554]
[-17.96   6.27  60.08], [60.38760542869568]
[-17.72   6.85  59.81], [60.4711651802063]
[-17.47   6.76  59.95], [60.55497479438782]
[-18.22   6.47  59.81], [60.63877820968628]
[-17.46   6.87  59.94], [60.72239899635315]
[-18.1    6.53  59.79], [60.806339502334595]
[-17.43   6.78  59.97], [60.88915538787842]
[-17.94   6.95  59.76], [60.97163414955139]
[-17.39   6.82  59.96], [61.05504608154297]
[-18.1    7.16  59.7 ], [61.138009548187256]
[-16.15   4.92  61.2 ], [61.221776247024536]
[-12.31 -13.74  56.82], [61.30549192428589]
[-22.41  -2.7   62.09], [61.38908386230469]
[-16.36 -12.25  57.45], [61.47215700149536]
[-18.09  -3.73  60.65], [61.554906368255615]
[-17.19  -6.73  58.58], [61.638014793395996]
