[1.42108547e-14 0.00000000e+00 5.50000000e+01], [31.057428121566772]
[-1.68982219e-03  9.27597492e-07  5.50121821e+01], [52.050009965896606]
[-1.21140211e-03  9.61067913e-07  5.50091332e+01], [52.133901834487915]
[-8.68387216e-04  9.15921548e-07  5.50068473e+01], [52.2168607711792]
[-6.22466595e-04  8.29993964e-07  5.50051336e+01], [52.30016589164734]
[-4.46165306e-04  7.27295056e-07  5.50038488e+01], [52.383204221725464]
[-3.19780615e-04  6.22346016e-07  5.50028855e+01], [52.46653604507446]
[-2.29184088e-04  5.23344650e-07  5.50021633e+01], [52.54922413825989]
[-1.64245004e-04  4.34403074e-07  5.50016219e+01], [52.6325044631958]
[5.00837120e-06 2.59326715e-06 5.85558864e+01], [52.716301679611206]
[-2.56045188e-06  2.64278516e-06  5.93306851e+01], [52.79973244667053]
[-3.47659810e-06  2.65445908e-06  5.94958369e+01], [52.882652759552]
[-3.84363285e-06  2.65970496e-06  5.95310190e+01], [52.965574741363525]
[-4.07924882e-06  2.66319798e-06  5.95385137e+01], [53.048022985458374]
[-4.25623420e-06  2.66585722e-06  5.95401103e+01], [53.1317138671875]
[-4.39401577e-06  2.66792156e-06  5.95404505e+01], [53.214075565338135]
[-4.50175973e-06  2.66952171e-06  5.95405229e+01], [53.29766869544983]
[-4.58588243e-06  2.67075780e-06  5.95405384e+01], [53.38061285018921]
[-4.65141781e-06  2.67171018e-06  5.95405417e+01], [53.4645037651062]
[-4.70237960e-06  2.67244265e-06  5.95405423e+01], [53.54754590988159]
[-4.74195584e-06  2.67300533e-06  5.95405425e+01], [53.63091683387756]
[-4.77266277e-06  2.67343724e-06  5.95405425e+01], [53.7146098613739]
[-4.79647543e-06  2.67376860e-06  5.95405425e+01], [53.79754614830017]
[-4.81493759e-06  2.67402271e-06  5.95405425e+01], [53.880441427230835]
[-4.82925162e-06  2.67421752e-06  5.95405425e+01], [53.96454954147339]
[-4.84035196e-06  2.67436682e-06  5.95405425e+01], [54.04821443557739]
[-4.84896336e-06  2.67448120e-06  5.95405425e+01], [54.131420612335205]
[-4.85564720e-06  2.67456879e-06  5.95405425e+01], [54.214275598526]
[-4.86083820e-06  2.67463584e-06  5.95405425e+01], [54.29700016975403]
[-4.86487246e-06  2.67468712e-06  5.95405425e+01], [54.3806312084198]
[-4.86801004e-06  2.67472631e-06  5.95405425e+01], [54.464473247528076]
[-4.87045218e-06  2.67475623e-06  5.95405425e+01], [54.548062324523926]
[-4.87235460e-06  2.67477906e-06  5.95405425e+01], [54.631107568740845]
[-4.87383775e-06  2.67479644e-06  5.95405425e+01], [54.71360492706299]
[-4.86689481  4.79526691 60.09023665], [54.79783630371094]
[-4.95610965  4.95604607 59.67220262], [54.881553411483765]
[-4.94033922  4.94009352 59.57963734], [54.965691328048706]
[-4.93772019  4.93747097 59.55653346], [55.045363903045654]
[-4.93733957  4.93714168 59.54838061], [55.1284122467041]
[-4.93735279  4.93720036 59.54300701], [55.21109223365784]
[-4.9374239   4.93730928 59.53828801], [55.29438042640686]
[-4.93749678  4.93741333 59.53403497], [55.3766565322876]
[-4.93756651  4.93750865 59.53031643], [55.46031093597412]
[-4.93763442  4.93759753 59.52716455], [55.54338216781616]
[-4.93770091  4.93768113 59.52455545], [55.62715148925781]
[-4.93776527  4.93775944 59.52243216], [55.71024227142334]
[-4.93782648  4.93783197 59.52072501], [55.79350137710571]
[-4.93788359  4.93789827 59.51936425], [55.87732982635498]
[-4.93793597  4.9379581  59.51828628], [55.96123480796814]
[-4.93798333  4.93801148 59.51743615], [56.04525065422058]
[-4.93802564  4.93805866 59.51676795], [56.12931823730469]
[-4.93806307  4.93810003 59.51624407], [56.21317744255066]
[-4.93809593  4.93813607 59.51583416], [56.29735827445984]
[-4.93812458  4.9381673  59.51551397], [56.38102102279663]
[-4.93814943  4.93819423 59.51526422], [56.46575474739075]
[-4.9381709   4.93821739 59.51506968], [56.54926037788391]
[-4.93818937  4.93823722 59.51491833], [56.63331723213196]
[-4.93820521  4.93825418 59.51480074], [56.71686768531799]
[-4.93821877  4.93826863 59.5147095 ], [56.799755334854126]
[-9.85968617  9.84359261 59.32776861], [56.882816791534424]
[-9.86609841  9.86592801 59.49764837], [56.96591138839722]
[-9.85748133  9.84469398 59.55112506], [57.04970383644104]
[-9.86894671  9.86886837 59.5168524 ], [57.132753133773804]
[-9.86812844  9.86799499 59.51040524], [57.21608519554138]
[-9.86738676  9.86728827 59.50350156], [57.30008792877197]
[-9.86640449  9.8663428  59.49565164], [57.38349533081055]
[-9.86532319  9.86529448 59.4876675 ], [57.46679067611694]
[-9.8642862   9.86428679 59.48021932], [57.54969620704651]
[-9.86336851  9.8633948  59.47364068], [57.63270115852356]
[-9.86259537  9.86264391 59.46802826], [57.71696877479553]
[-9.86196458  9.86203211 59.46334735], [57.800726652145386]
[-9.8614612   9.86154473 59.4595018 ], [57.88466215133667]
[-9.86106592  9.86116281 59.45637455], [57.96789360046387]
[-9.86075941  9.86086733 59.45384898], [58.0518581867218]
[-9.86052418  9.86064117 59.45181891], [58.1357524394989]
[-9.86034534  9.86046976 59.45019239], [58.217692136764526]
[-9.86021062  9.86034109 59.44889206], [58.30193781852722]
[-9.86011011  9.86024552 59.4478541 ], [58.3852756023407]
[-9.86003593  9.86017539 59.44702645], [58.46847105026245]
[-9.85998189  9.86012466 59.44636702], [58.55177640914917]
[-9.85994314  9.86008866 59.44584194], [58.63546562194824]
[-9.85991594  9.86006373 59.44542403], [58.71855163574219]
[-9.85989738  9.86004708 59.44509159], [58.802053451538086]
[-9.85988524  9.86003655 59.44482724], [58.88577055931091]
[-9.92687819  4.99693204 59.79077815], [58.969970703125]
[-9.88728166  4.94878736 59.56025861], [59.05343818664551]
[-9.87384892  4.94662437 59.50414964], [59.136603593826294]
[-9.86986334  4.94414716 59.48756339], [59.22034239768982]
[-9.86799282  4.9421968  59.47983155], [59.3036584854126]
[-9.86673384  4.94042356 59.47453627], [59.38791060447693]
[-9.86576701  4.93881853 59.47035839], [59.47135281562805]
[-9.86500989  4.93741374 59.46700317], [59.55457520484924]
[-9.86442419  4.93622166 59.46435255], [59.63855051994324]
[-9.86397891  4.93523442 59.46230411], [59.722429513931274]
[-9.86463969  4.93491146 59.46455969], [59.80523753166199]
[-9.86538934  4.93475617 59.46733225], [59.88790225982666]
[-9.86575393  4.9345188  59.46868834], [59.9711389541626]
[-9.86600501  4.93431189 59.46960671], [60.054455041885376]
[-9.86619632  4.93414557 59.47031402], [60.13814997673035]
[-9.8663447   4.93401431 59.47087383], [60.221818685531616]
[-9.86645916  4.93391104 59.47131629], [60.305333614349365]
[-9.86654652  4.93382965 59.4716634 ], [60.38738965988159]
[-9.86661246  4.93376528 59.47193354], [60.470951557159424]
[-9.86666168  4.93371415 59.47214226], [60.5547661781311]
[-9.86669804  4.93367332 59.47230252], [60.63856220245361]
[-9.86672461  4.93364054 59.4724249 ], [60.72218871116638]
[-9.86674383  4.93361407 59.47251791], [60.80608820915222]
[-9.86675758  4.93359255 59.47258832], [60.88889408111572]
[-9.8667673   4.93357494 59.47264143], [60.97141885757446]
[-9.90440764e+00  2.49854604e-02  5.97125356e+01], [61.05483627319336]
[-9.88794082e+00  4.58256479e-03  5.95606045e+01], [61.13779282569885]
[-9.87810388e+00  8.62570586e-03  5.95199120e+01], [61.22138071060181]
[-9.87523832e+00  8.08712551e-03  5.95080767e+01], [61.30523490905762]
[-9.87381952e+00  7.14313136e-03  5.95023913e+01], [61.38882088661194]
[-9.87273365e+00  6.12511093e-03  5.94980626e+01], [61.471943616867065]
[-9.87180071e+00  5.14764243e-03  5.94943042e+01], [61.5546875]
[-9.87100477e+00  4.26336716e-03  5.94910594e+01], [61.63779091835022]
[-9.87034475e+00  3.49294396e-03  5.94883407e+01], [61.72177195549011]
[-9.86981171e+00  2.83916772e-03  5.94861250e+01], [61.80462169647217]
[-9.86939017e+00  2.29506932e-03  5.94843586e+01], [61.8879828453064]
[-9.86906223e+00  1.84889782e-03  5.94829738e+01], [61.971498250961304]
[-9.86881041e+00  1.48717558e-03  5.94819023e+01], [62.056230306625366]
[-9.86861910e+00  1.19649048e-03  5.94810817e+01], [62.140814542770386]
[-9.86847512e+00  9.64462895e-04  5.94804588e+01], [62.22429156303406]
[-9.86836769e+00  7.80189045e-04  5.94799895e+01], [62.30878567695618]
[-9.86828819e+00  6.34366982e-04  5.94796384e+01], [62.392905950546265]
